question,answer,question_with_blanks,draggables
Ions move through what to maintain electrical neutrality in the cell?,"4. Ions move through the membrane to maintain electrical neutrality in the cell. In the cell illustrated above, sulfate ions will move from the copper side to the zinc side to compensate for the decrease in Cu 2+ and the increase in Zn 2+ .","4. Ions move through the membrane to maintain electrical neutrality in [DROP] cell. In [DROP] cell illustrated above, sulfate ions will move from the copper side to the zinc side [DROP] compensate for the decrease in Cu 2+ and the [DROP] in Zn 2+ .","the, the, to, increase"
What term is given to flatworms because they lack a body cavity?,"Flatworms have no true body cavity, but they do have bilateral symmetry. Due to the lack of a body cavity,flatworms are known as acoelomates.","Flatworms have no true [DROP] cavity, [DROP] they do have bilateral symmetry. Due to the lack of a body cavity,flatworms are [DROP] as acoelomates.","body, but, known"
Dialysis is a treatment for failure of what organs?,Kidney failure may be treated with dialysis.,Kidney failure [DROP] be [DROP] with [DROP],"may, treated, dialysis."
"Typically done to find food or mates, what do you call the regular movement of individuals or populations each year during certain seasons?","Migration is another type of movement that changes population size. Migration is the regular movement of individuals or populations each year during certain seasons. The purpose of migration usually is to find food, mates, or other resources. For example, many northern hemisphere birds migrate thousands of miles south each fall. They go to areas where the weather is warmer and more resources are available (see Figure below ). Then they return north in the spring to nest. Some animals, such as elk, migrate vertically. They go up the sides of mountains in spring as snow melts. They go back down the mountain sides in fall as snow returns.","Migration is another type of movement that changes population size. Migration is the regular movement of individuals or populations each year during certain seasons. The purpose of migration usually is [DROP] find food, mates, or other resources. For example, many northern hemisphere birds migrate thousands of miles south each fall. They go to [DROP] where the weather is warmer and more resources are [DROP] (see Figure below ). Then they return north in the spring to nest. Some animals, such as elk, [DROP] vertically. They go up the sides [DROP] mountains in spring [DROP] snow melts. They go back down the mountain sides in fall as snow returns.","to, areas, available, migrate, of, as"
Applying a pressure greater than the osmotic pressure of a solution will do what?,Figure 11.26 Applying a pressure greater than the osmotic pressure of a solution will reverse osmosis. Solvent molecules from the solution are pushed into the pure solvent.,Figure [DROP] Applying a pressure greater than the osmotic pressure of a solution [DROP] reverse osmosis. Solvent molecules from the solution are [DROP] into the pure solvent.,"11.26, will, pushed"
Hydrocarbons in which all carbons are connected by single bonds are called?,"Hydrocarbons are molecules that contain only carbon and hydrogen atoms. Because each carbon atom can form covalent bonds with up to four other atoms, very large and complex molecules can be formed just from these two elements. Hydrocarbons in which all carbons are connected by single bonds are known as alkanes . If a C=C double bond is present, the compound is now an alkene . A triple bond between two carbons (C≡C) makes the compound an alkyne . Hydrocarbons can also be broadly classified as either saturated , which means they contain no multiple bonds, or unsaturated , which means they contain at least one double or triple bond.","Hydrocarbons are molecules that contain only carbon and hydrogen atoms. Because each carbon atom can form covalent bonds with up to four other atoms, very large and complex molecules can be formed just [DROP] these two elements. Hydrocarbons in which all carbons are connected by single bonds are known as alkanes . If a C=C double bond is present, the compound is now an alkene . A triple bond between two carbons (C≡C) [DROP] the compound an alkyne . Hydrocarbons can also be broadly classified as either saturated , which means they contain no multiple bonds, or unsaturated , [DROP] [DROP] they contain [DROP] least one [DROP] or triple bond.","from, makes, which, means, at, double"
"When boron10 absorbs a neutron, what does it emit?","Boron neutron capture therapy is a potential treatment for many diseases. As the name implies, when boron10, one of the naturally occurring isotopes of boron, is bombarded with neutrons, it absorbs a neutron and emits an α particle. Write a balanced nuclear reaction for this reaction. One advantage of this process is that neutrons cause little damage on their own, but when they are absorbed by boron-10, they can cause localized emission of alpha radiation. Comment on the utility of this treatment and its potential difficulties.","Boron [DROP] capture therapy is a potential treatment [DROP] many diseases. As the name implies, when boron10, one of the [DROP] occurring isotopes of boron, is bombarded with neutrons, it absorbs a neutron and emits an α particle. Write a balanced nuclear [DROP] for this reaction. [DROP] advantage of this process is that neutrons cause little damage on their own, but when they are absorbed by boron-10, they can cause localized emission of alpha radiation. Comment on the utility of this treatment and its [DROP] difficulties.","neutron, for, naturally, reaction, One, potential"
What's another term for egg-laying mammals?,"There are very few living species of monotremes, or egg-laying mammals. They include the echidna and platypus, both pictured in Figure below . Monotremes are found only in Australia and the nearby island of New Guinea.","There are very few living species of monotremes, or egg-laying mammals. [DROP] include the echidna and platypus, [DROP] pictured in Figure below . Monotremes are found only in Australia and the nearby island of [DROP] Guinea.","They, both, New"
What connection is required for a newborn baby to begin breathing?,"Near the time of birth, the amniotic sac breaks in a gush of fluid. Often when this occurs, women say that their ""water broke. "" Labor usually begins within a day of this event. Labor involves contractions of the muscular walls of the uterus, which cause the cervix to dilate. With the mother’s help, the contractions eventually push the fetus out of the uterus and through the vagina. Within seconds of birth, the umbilical cord is cut. Without this connection to the placenta, the baby cannot exchange gases, so carbon dioxide quickly builds up in the baby’s blood. This stimulates the brain to trigger breathing, and the newborn takes its first breath. See Labor and Birth - BabyCenter Video at http://www. youtube. com/watch?v=BgZ5z6RB06c for additional information.","Near the time of birth, the amniotic sac breaks in a gush of fluid. Often when this occurs, women say that their ""water broke. "" Labor usually begins within a day of this event. Labor involves contractions of the muscular walls of the uterus, which cause the cervix to dilate. With the mother’s help, the contractions eventually push the fetus out of the uterus and through the vagina. Within seconds of birth, the umbilical cord is cut. [DROP] this connection to the placenta, [DROP] baby cannot [DROP] gases, so carbon dioxide quickly builds up in the baby’s blood. This stimulates the brain to trigger [DROP] and the newborn takes [DROP] first breath. See Labor and Birth - BabyCenter Video at http://www. [DROP] com/watch?v=BgZ5z6RB06c for additional information.","Without, the, exchange, breathing,, its, youtube."
"Due to the __________ nature of the lipids that make up cell membranes, polar molecules (such as water) and ions cannot easily diffuse across the cell membrane.","Small nonpolar molecules can easily diffuse across the cell membrane. However, due to the hydrophobic nature of the lipids that make up cell membranes, polar molecules (such as water) and ions cannot do so. Instead, they diffuse across the membrane through transport proteins. A transport protein completely spans the membrane, and allows certain molecules or ions to diffuse across the membrane. Channel proteins, gated channel proteins, and carrier proteins are three types of transport proteins that are involved in facilitated diffusion.","Small nonpolar molecules can easily diffuse across the cell membrane. However, due to the hydrophobic nature of the lipids that make [DROP] cell [DROP] polar molecules (such [DROP] water) and ions cannot do so. Instead, [DROP] diffuse across the membrane through transport [DROP] A transport protein completely spans [DROP] membrane, and allows certain molecules or ions to diffuse across the membrane. Channel proteins, gated channel proteins, and carrier proteins are three types of transport proteins that are involved in facilitated diffusion.","up, membranes,, as, they, proteins., the"
How much unpolarized light does a polarized filter block?,"Polarized filters block 50% of unpolarized light. If two filters are oriented so that their polarization axes are aligned, how much light is transmitted? What about if their axes are oriented perpendicular to each other? Draw two diagrams below to support your answers.","Polarized filters [DROP] 50% of unpolarized light. If two filters are oriented so that their polarization axes are aligned, how much [DROP] is transmitted? [DROP] about if [DROP] axes are oriented perpendicular to each other? Draw two diagrams below to support your answers.","block, light, What, their"
"Most, if not all, of the extant animal phyla today evolved during the cambrian period, yet many of what devastating events have taken place since then?","Describe at least two major changes to the animal phylogenetic tree that have come about due to molecular or genetic findings. How is it that morphological data alone might lead scientists to group animals into erroneous evolutionary relationships? 26. Briefly describe at least two theories that attempt to explain the cause of the Cambrian explosion. How is it that most, if not all, of the extant animal phyla today evolved during the Cambrian period if so many massive extinction events have taken place since then?.","Describe at least [DROP] major changes to the [DROP] phylogenetic tree that have come about due to molecular or genetic findings. How is it that morphological data alone might lead [DROP] [DROP] group animals into erroneous [DROP] relationships? 26. Briefly describe at least two theories that attempt to explain the cause of the Cambrian explosion. How is it that most, if not all, of the extant animal phyla today evolved during [DROP] Cambrian period if so many massive extinction events have taken place since then?.","two, animal, scientists, to, evolutionary, the"
Photoautotrophs and chemoautotrophs are two basic types of what?,Producers are organisms that produce food for themselves and other organisms. They use energy and simple inorganic molecules to make organic compounds. The stability of producers is vital to ecosystems because all organisms need organic molecules. Producers are also called autotrophs . There are two basic types of autotrophs: photoautotrophs and chemoautotrophs.,Producers are organisms that produce food for [DROP] and other [DROP] They use energy and simple inorganic molecules [DROP] make organic compounds. The stability of producers is vital to [DROP] because all organisms need organic molecules. [DROP] are also called autotrophs . There are two basic types of autotrophs: photoautotrophs and chemoautotrophs.,"themselves, organisms., to, ecosystems, Producers"
"In grazing, a predator partially eats but does not kill what?","In grazing , the predator eats part of the prey but does not usually kill it. You may have seen cows grazing on grass. The grass they eat grows back, so there is no real effect on the population. In the ocean, kelp (a type of seaweed) can regrow after being eaten by fish.","In grazing , the predator eats part of the prey but does not [DROP] kill it. You may have seen cows [DROP] on grass. The grass they eat grows [DROP] so there is no [DROP] effect on the population. In the ocean, kelp (a type of seaweed) can regrow after [DROP] eaten by fish.","usually, grazing, back,, real, being"
A hypothesis is scientific only if it can be tested by what?,"For a hypothesis to be testable means that it is possible to make observations that agree or disagree with it. If a hypothesis cannot be tested by making observations, it is not scientific. Consider this statement:.","For a hypothesis to be testable means that it is possible to make observations that agree or [DROP] with it. If a hypothesis cannot be tested by making observations, it is [DROP] scientific. Consider [DROP] statement:.","disagree, not, this"
What body part does encephalitis attack?,"Encephalitis is a brain infection ( Figure below ). If you have encephalitis, you are likely to have a fever and headache or feel drowsy and confused. The disease is most often caused by viruses. The immune system tries to fight off a brain infection, just as it tries to fight off other infections. But sometimes this can do more harm than good. The immune system’s response may cause swelling in the brain. With no room to expand, the brain pushes against the skull. This may injure the brain and even cause death. Medicines can help fight some viral infections of the brain, but not all infections.","Encephalitis is a brain infection ( Figure below ). If you have encephalitis, you are likely to have a fever and headache or [DROP] drowsy [DROP] confused. The disease is most often caused by viruses. The immune system tries to fight off a brain infection, just [DROP] it tries [DROP] fight off other infections. But sometimes this can [DROP] more harm than good. The immune system’s response may cause swelling in the brain. With no room to expand, the brain [DROP] against the skull. This may injure the brain and even cause death. Medicines can help fight some viral infections of the brain, but not all infections.","feel, and, as, to, do, pushes"
A change in the sequence of bases in dna or rna is called a what?,"A change in the sequence of bases in DNA or RNA is called a mutation . Does the word mutation make you think of science fiction and bug-eyed monsters? Think again. Everyone has mutations. In fact, most people have dozens or even hundreds of mutations in their DNA. Mutations are essential for evolution to occur. They are the ultimate source of all new genetic material in a species. Although most mutations have no effect on the organisms in which they occur, some mutations are beneficial. Even harmful mutations rarely cause drastic changes in organisms.","A change in the sequence of [DROP] in DNA or RNA is called a mutation [DROP] Does the word mutation [DROP] you think of science fiction and bug-eyed monsters? Think [DROP] Everyone has mutations. In fact, most people have dozens or even hundreds of mutations in their DNA. Mutations are essential for evolution to occur. They are the ultimate source of all new genetic [DROP] in a species. Although most mutations have no effect on the organisms in which they occur, some mutations are beneficial. Even harmful mutations rarely [DROP] drastic changes in organisms.","bases, ., make, again., material, cause"
Sebaceous glands produce an oily substance called what?,"Sebaceous glands produce an oily substance called sebum . Sebum is secreted into hair follicles and makes its way to the skin surface. It waterproofs the hair and skin and helps prevent them from drying out. Sebum also has antibacterial properties, so it inhibits the growth of microorganisms on the skin.","Sebaceous glands produce an oily substance called sebum . Sebum is secreted into hair [DROP] and makes its way to the skin surface. It waterproofs the hair and skin [DROP] helps prevent them from drying [DROP] Sebum also has antibacterial properties, so it [DROP] the growth of microorganisms on [DROP] skin.","follicles, and, out., inhibits, the"
What type of fibers are made mostly of protein in living things?,Muscle fibers are made mostly of protein.,Muscle fibers are made [DROP] [DROP] [DROP],"mostly, of, protein."
The sum of the kinetic and potential energies of a system’s atoms and molecules is called what?,"Internal energy—the sum of the kinetic and potential energies of a system’s atoms and molecules. Can be divided into many subcategories, such as thermal and chemical energy. Depends only on the state of a system (such as its P , V , and T ), not on how the energy entered the system. Change in internal energy is path independent.","Internal energy—the sum of the kinetic and potential energies of a system’s atoms and molecules. Can be divided into many subcategories, [DROP] as thermal and chemical [DROP] [DROP] only on the state of a system (such as its P [DROP] V , [DROP] T ), not on how the energy entered the system. Change in internal energy [DROP] path independent.","such, energy., Depends, ,, and, is"
The tyndall effect refers to the scattering of what by colloidal particles?,The Tyndall effect is the scattering of visible light by colloidal particles.,The [DROP] effect is the [DROP] of visible light by colloidal [DROP],"Tyndall, scattering, particles."
Hydrogen chloride contains one atom of hydrogen and one atom of what?,Hydrogen chloride contains one atom of hydrogen and one atom of chlorine. Because the.,Hydrogen chloride contains one [DROP] [DROP] hydrogen and [DROP] atom of chlorine. Because the.,"atom, of, one"
What are two types of frozen percipitation?,"Snow falls when water vapor condenses as ice crystals. The air temperature is below freezing all the way to the ground, so the ice crystals remain frozen. They fall as flakes. Sleet forms when snow melts as it falls through a layer of warm air and then refreezes. It turns into small, clear ice pellets as it passes through a cold layer near the ground. Freezing rain falls as liquid water. It freezes on contact with cold surfaces near the ground. It may cover everything with a glaze of ice. If the ice is thick, its weight may break tree branches and pull down power lines. Hail is another type of frozen precipitation. Hail forms in thunderstorms when strong updrafts carry rain high into the troposphere. The rain freezes into balls of ice called hailstones. This may happen over and over again until the hailstones are as big as baseballs. Hail forms only in cumulonimbus clouds.","Snow falls when water vapor condenses as ice crystals. The air temperature is below freezing all the way to the ground, so [DROP] ice crystals remain frozen. They fall as flakes. Sleet forms when snow melts as it falls through a layer of warm air and then refreezes. It turns into small, clear ice pellets as it passes through a [DROP] layer near the ground. Freezing rain falls [DROP] liquid water. It freezes on [DROP] with cold surfaces near the ground. It may cover everything with a glaze of ice. If the ice is thick, its weight may break tree branches and [DROP] down power lines. Hail is another type of frozen precipitation. [DROP] forms in thunderstorms when strong updrafts carry rain high into the troposphere. The rain freezes into balls of ice called hailstones. This may happen over and over again until the hailstones are as big as baseballs. Hail forms only in cumulonimbus clouds.","the, cold, as, contact, pull, Hail"
"The three segments of arthropods are the head, thorax and what?","Most arthropods have three body segments. The segments are the head, thorax, and abdomen. You can see the three segments in a range of arthropods in Figure below . In some arthropods, the head and thorax are joined together.","Most arthropods have three body segments. The segments are the [DROP] thorax, and abdomen. You can see [DROP] three segments in a range of arthropods in Figure below . [DROP] some arthropods, the head and thorax are joined together.","head,, the, In"
What kind of weather change do la nina years usually bring?,"El Niño and La Niña bring about dramatic changes in climate for a year or two. In some locations, one brings rain and the other brings drought. In California, for example, El Niño years are full of snow and rain. La Niña years tend toward drought. These variations can bring tremendous changes to living creatures. Humans are also affected; for example, erosion from storms may be very high some years.","El Niño and La Niña [DROP] about dramatic changes in climate for a year [DROP] two. In some locations, one brings rain and the other brings drought. In California, for example, El Niño years are full of snow and rain. La Niña years tend toward drought. These variations can bring tremendous changes to living creatures. Humans are also affected; [DROP] example, erosion [DROP] storms may be [DROP] high some [DROP]","bring, or, for, from, very, years."
What type of waste is eliminated from the body through the anus?,solid waste that remains after food is digested and is eliminated from the body through the anus.,solid waste that [DROP] after food is digested and is eliminated from the body [DROP] [DROP] anus.,"remains, through, the"
The two parameters used to measure changes in ecosystems are resistance and what related factor?,"Ecosystems are complex with many interacting parts. They are routinely exposed to various disturbances, or changes in the environment that effect their compositions: yearly variations in rainfall and temperature and the slower processes of plant growth, which may take several years. Many of these disturbances are a result of natural processes. For example, when lightning causes a forest fire and destroys part of a forest ecosystem, the ground is eventually populated by grasses, then by bushes and shrubs, and later by mature trees, restoring the forest to its former state. The impact of environmental disturbances caused by human activities is as important as the changes wrought by natural processes. Human agricultural practices, air pollution, acid rain, global deforestation, overfishing, eutrophication, oil spills, and illegal dumping on land and into the ocean are all issues of concern to conservationists. Equilibrium is the steady state of an ecosystem where all organisms are in balance with their environment and with each other. In ecology, two parameters are used to measure changes in ecosystems: resistance and resilience. The ability of an ecosystem to remain at equilibrium in spite of disturbances is called resistance. The speed at which an ecosystem recovers equilibrium after being disturbed, called its resilience. Ecosystem resistance and resilience are especially important when considering human impact. The nature of an ecosystem may change to such a degree that it can lose its resilience entirely. This process can lead to the complete destruction or irreversible altering of the ecosystem.","Ecosystems are complex with many interacting parts. [DROP] are routinely exposed to various disturbances, or changes in the environment that effect their compositions: yearly variations in rainfall and temperature and the slower processes of plant growth, which may take several years. Many of these disturbances are a result of natural processes. For example, when [DROP] causes a forest fire and destroys part of a forest ecosystem, the ground is eventually populated by grasses, then by bushes and shrubs, and later [DROP] mature trees, restoring the forest to its former state. The [DROP] of environmental disturbances caused by human activities is [DROP] important as the changes wrought by natural processes. Human agricultural practices, air pollution, [DROP] rain, global deforestation, overfishing, eutrophication, oil spills, and illegal dumping on land and into the ocean are all issues of concern to conservationists. Equilibrium is the steady state of an ecosystem where all organisms are in balance with their environment and with each other. In ecology, two parameters are used to measure changes in ecosystems: resistance and resilience. The ability of an ecosystem to remain at equilibrium in spite of disturbances is called resistance. The speed at which an ecosystem recovers equilibrium after being disturbed, called its resilience. Ecosystem resistance and resilience are especially important when considering human impact. The nature of an ecosystem may change to such a degree that it can lose its resilience entirely. This process can lead to the complete destruction or irreversible altering of the ecosystem.","They, lightning, by, impact, as, acid"
What is the continental margin made of?,continental margin : The transition from the land to the deep sea. The continental margin is made of continental crust. More than one-quarter of the ocean basin is continental margin.,continental margin : [DROP] transition from the land to the deep sea. The continental margin is made of continental crust. More than one-quarter of [DROP] ocean basin is continental [DROP],"The, the, margin."
What is the term for a natural situation which arises to physically divide organisms?,"If the two isolated populations are brought back together and the hybrid offspring that formed from matings between individuals of the two populations have lower survivorship or reduced fertility, then selection will favor individuals that are able to discriminate between potential mates of their own population and the other population. This selection will enhance the reproductive isolation. Isolation of populations leading to allopatric speciation can occur in a variety of ways: from a river forming a new branch, erosion forming a new valley, or a group of organisms traveling to a new location without the ability to return, such as seeds floating over the ocean to an island. The nature of the geographic separation necessary to isolate populations depends entirely on the biology of the organism and its potential for dispersal. If two flying insect populations took up residence in separate nearby valleys, chances are that individuals from each population would fly back and forth, continuing gene flow. However, if two rodent populations became divided by the formation of a new lake, continued gene flow would be unlikely; therefore, speciation would be more likely. Biologists group allopatric processes into two categories. If a few members of a species move to a new geographical area, this is called dispersal. If a natural situation arises to physically divide organisms, this is called vicariance. Scientists have documented numerous cases of allopatric speciation taking place. For example, along the west coast of the United States, two separate subspecies of spotted owls exist. The northern spotted owl has genetic and phenotypic differences from its close relative, the Mexican spotted owl, which lives in the south (Figure 11.15). The cause of their initial separation is not clear, but it may have been caused by the glaciers of the ice age dividing an initial population into [5] two.","If the two isolated populations [DROP] brought back together and the hybrid offspring that formed from matings between individuals of the two populations have lower survivorship [DROP] reduced fertility, then selection will favor individuals that are able to discriminate between potential mates of their own population and the other population. [DROP] selection will enhance the reproductive isolation. Isolation of populations leading to allopatric speciation can occur in a variety of ways: from a river forming a new branch, erosion forming a new valley, or a group of organisms traveling to a new location without the ability to return, such as seeds floating over the ocean to an island. The nature of the geographic separation necessary to isolate populations depends entirely on the biology of the organism and its potential for dispersal. If two flying insect populations took up residence in separate nearby valleys, chances are that individuals from each population would fly back [DROP] forth, [DROP] gene flow. However, if two rodent populations became divided by the formation of a new lake, continued gene flow would be unlikely; therefore, speciation would be more likely. Biologists group allopatric processes into two categories. If a few members of a species move to a new geographical area, this is called dispersal. If a natural situation arises to physically divide organisms, this is called vicariance. Scientists have documented numerous cases of allopatric speciation taking place. For example, along the west coast of the United States, two separate subspecies of spotted owls exist. The northern spotted owl has genetic and phenotypic differences from its close relative, the Mexican spotted owl, which lives in the south (Figure 11.15). The cause of their initial separation is not clear, but it may have been caused by the glaciers of the ice age dividing an [DROP] population into [5] two.","are, or, This, and, continuing, initial"
Chromosomes consist of what material made up of strings of dna?,"8.2 Chromatin Chromosomes consist of chromatin11 . This is made up of strings of DNA, which typically measure centimeters in length if stretched out. This DNA is wound around a histone12 core and organized into nucleosome13 s. The chromatin14 must be uncoiled for gene expression15 and replication16 . Chromosome micrograph.","8.2 Chromatin Chromosomes consist of chromatin11 . This [DROP] made up of strings of DNA, which typically measure centimeters in [DROP] if stretched out. This DNA is wound around a [DROP] core and organized into nucleosome13 s. The chromatin14 [DROP] be uncoiled for gene [DROP] and replication16 . Chromosome micrograph.","is, length, histone12, must, expression15"
Upwelling mantle at the mid-ocean ridge pushes plates in which direction?,Plates move for two reasons. Upwelling mantle at the mid-ocean ridge pushes plates outward. Cold lithosphere sinking into the mantle at a subduction zone pulls the rest of the plate down with it.,Plates move for two reasons. Upwelling mantle at the mid-ocean ridge pushes plates outward. Cold [DROP] [DROP] into the mantle at a subduction zone [DROP] the rest of the plate down with it.,"lithosphere, sinking, pulls"
The eukaryotic cell cycle is regulated by a what?,12.3 The eukaryotic cell cycle is regulated by a molecular control system.,[DROP] The eukaryotic cell cycle [DROP] regulated by [DROP] molecular control system.,"12.3, is, a"
The actinides are all what type of elements?,actinide: The actinides are the 14 elements from thorium (atomic number 90) to lawrencium (atomic number 103). The sublevel is in the process of being filled. The actinides are all radioactive elements and only the first four have been found naturally on Earth.,actinide: The actinides are the 14 elements from thorium [DROP] number 90) to lawrencium (atomic number 103). The sublevel is in the process of being filled. The actinides are all radioactive elements [DROP] only [DROP] first four have been found naturally [DROP] Earth.,"(atomic, and, the, on"
"What layer of soil, essential for farming, has the highest proportion of organic material?",Topsoil has the highest proportion of organic material. Topsoil is essential for farming.,[DROP] has the highest proportion [DROP] organic material. Topsoil is essential for [DROP],"Topsoil, of, farming."
What is the process by which a liquid changes to a solid?,"The process in which a liquid changes to a solid is called freezing . The temperature at which a liquid changes to a solid is its freezing point. The freezing point of water is 0°C (32°F). Other types of matter may have higher or lower freezing points. For example, the freezing point of iron is 1535°C. The freezing point of oxygen is -219°C.","The process in which a liquid changes to a solid is called freezing . The temperature at which a liquid changes to a solid is its freezing point. [DROP] freezing point of water is 0°C (32°F). [DROP] types of matter may have higher or [DROP] freezing [DROP] For example, the freezing point [DROP] iron is 1535°C. The freezing point of [DROP] is -219°C.","The, Other, lower, points., of, oxygen"
What term refers to the breaking stress that will cause permanent deformation or fracture of a material?,"makes it clear that the deformation is proportional to the applied force. Figure 5.13 shows the Hooke’s law relationship between the extension ΔL of a spring or of a human bone. For metals or springs, the straight line region in which Hooke’s law pertains is much larger. Bones are brittle and the elastic region is small and the fracture abrupt. Eventually a large enough stress to the material will cause it to break or fracture. Tensile strength is the breaking stress that will cause permanent deformation or fracture of a material. Hooke’s Law.","makes it clear that the deformation is proportional to the applied force. Figure 5.13 shows the Hooke’s law relationship between the extension ΔL of a spring or of [DROP] human bone. For metals or springs, the straight line region in which [DROP] law pertains is much larger. Bones are brittle and the elastic region is small and the fracture abrupt. Eventually a large enough stress to the [DROP] will cause it to break or fracture. [DROP] strength is [DROP] breaking stress that will cause [DROP] deformation or fracture of a material. Hooke’s Law.","a, Hooke’s, material, Tensile, the, permanent"
"Compared to others, what type of liquid has a relatively high surface tension and heat capacity?","Compared to other liquids, water has a relatively high surface tension and heat capacity. Both of these properties are partially a result of the strong hydrogen bonds that hold water molecules together.","Compared to other liquids, water has a relatively high surface tension and heat capacity. Both of these properties are partially a result [DROP] the strong hydrogen bonds [DROP] hold [DROP] molecules together.","of, that, water"
What causes the endometrium to thicken during a menstrual cycle?,"Hormone levels during the follicular phase, ovulation, and the luteal phase are compared. During the follicular phase, LH and FSH secreted from the pituitary stimulate several follicles to grow. The follicles produce low levels of estradiol that inhibit GnRH secretion by the hypothalamus, keeping LH and FSH levels low. Low levels of estradiol also cause the endometrial arteries to constrict, resulting in menstruation. During the time leading up to ovulation, LH and FSH stimulate maturation of one of the follicles. The growing follicle begins to produce high levels of estradiol, which stimulates GnRH secretion by the hypothalamus. As a result, LH and FSH levels rise, resulting in ovulation about a day later. Estradiol also causes the endometrium to thicken. After ovulation, the ovarian cycle enters the luteal phase. LH from the pituitary stimulates growth of the corpus luteum from the ruptured follicle. The corpus luteum secretes estradiol and progesterone that block GnRH production by the hypothalamus and LH and FSH production by the pituitary. Estradiol and progesterone also cause the endometrium to further develop. Figure 43.15 The ovarian and menstrual cycles of female reproduction are regulated by hormones produced by the hypothalamus, pituitary, and ovaries.","Hormone levels during the follicular phase, ovulation, and the luteal phase are compared. During the follicular phase, LH and FSH secreted from the pituitary stimulate several [DROP] to grow. The follicles produce low levels of estradiol that inhibit GnRH secretion by the hypothalamus, [DROP] LH and FSH levels low. Low levels of estradiol also cause the endometrial arteries to constrict, resulting in menstruation. During the time leading up to ovulation, LH and FSH stimulate maturation of one of the follicles. The growing follicle begins to produce high levels of estradiol, which stimulates GnRH secretion by the hypothalamus. As a result, LH and [DROP] levels rise, resulting in ovulation about a day later. [DROP] also causes the endometrium to thicken. After ovulation, the ovarian cycle enters the luteal phase. LH from [DROP] pituitary stimulates growth of the corpus luteum from the ruptured follicle. The corpus luteum secretes estradiol and progesterone that block GnRH production by the hypothalamus and LH and FSH production by the pituitary. Estradiol [DROP] progesterone also cause the endometrium to further develop. Figure 43.15 The ovarian and menstrual cycles of female reproduction are regulated by hormones produced by the hypothalamus, pituitary, and ovaries.","follicles, keeping, FSH, Estradiol, the, and"
Cellular respiration in humans involves the combustion of what simple sugar?,"Your own body cells burn fuel in combustion reactions. The fuel is glucose (C 6 H 12 O 6 ), a simple sugar. The process in which combustion of glucose occurs in body cells is called cellular respiration. This combustion reaction provides energy for life processes. Cellular respiration can be summed up by the equation:.","Your own body cells [DROP] fuel in combustion reactions. The fuel is glucose (C 6 H 12 O 6 ), a simple sugar. The process in [DROP] combustion of [DROP] occurs in body cells is called cellular respiration. This combustion [DROP] provides energy for life processes. Cellular respiration can be summed [DROP] by the equation:.","burn, which, glucose, reaction, up"
What can happen spontaneously or as a result of mutagens in the environment?,"Many mutations are not caused by errors in replication. Mutations can happen spontaneously, and they can be caused by mutagens in the environment. Some chemicals, such as those found in tobacco smoke, can be mutagens. Sometimes mutagens can also cause cancer. Tobacco smoke, for example, is often linked to lung cancer.","Many mutations are not caused by errors in replication. Mutations can happen spontaneously, and they can be [DROP] by [DROP] in the environment. Some chemicals, such as those found in tobacco smoke, can be mutagens. Sometimes [DROP] can also cause cancer. [DROP] smoke, for example, [DROP] often linked to lung cancer.","caused, mutagens, mutagens, Tobacco, is"
What type of energy of a system is the sum of the kinetic and potential energies of its atoms and molecules?,"Internal Energy U We can think about the internal energy of a system in two different but consistent ways. The first is the atomic and molecular view, which examines the system on the atomic and molecular scale. The internal energy U of a system is the sum of the kinetic and potential energies of its atoms and molecules. Recall that kinetic plus potential energy is called mechanical energy. Thus internal energy is the sum of atomic and molecular mechanical energy. Because it is impossible to keep track of all individual atoms and molecules, we must deal with averages and distributions. A second way to view the internal energy of a system is in terms of its macroscopic characteristics, which are very similar to atomic and molecular average values. Macroscopically, we define the change in internal energy.","Internal Energy U We can think about the internal energy of a system in two different but consistent ways. The first is the atomic and molecular view, which examines [DROP] system on the atomic and molecular scale. The internal energy U of a system is the sum [DROP] the kinetic and potential energies of its atoms and molecules. Recall [DROP] kinetic plus potential energy is called mechanical energy. Thus internal energy is the sum of atomic and molecular mechanical energy. Because it is impossible [DROP] keep track [DROP] all individual atoms and molecules, [DROP] must deal with averages and distributions. A second way to view the internal energy of a system is in terms of its macroscopic characteristics, which are very similar to atomic and molecular average values. Macroscopically, we define the change in internal energy.","the, of, that, to, of, we"
"The end result of diffusion is an equal concentration, or equilibrium , of molecules on both sides of what?","Diffusion will continue until the concentration gradient has been eliminated. Since diffusion moves materials from an area of higher concentration to the lower, it is described as moving solutes ""down the concentration gradient. "" The end result of diffusion is an equal concentration, or equilibrium , of molecules on both sides of the membrane. At equilibrium, movement of molecules does not stop. At equilibrium, there is equal movement of materials in both directions.","Diffusion will continue until the concentration gradient has been eliminated. [DROP] [DROP] moves materials from an area [DROP] [DROP] concentration to the lower, it is described as moving solutes ""down the concentration gradient. [DROP] The end result of diffusion is an equal concentration, or equilibrium , of molecules on both sides of the [DROP] At equilibrium, movement of molecules does not stop. At equilibrium, there is equal movement of materials in both directions.","Since, diffusion, of, higher, "", membrane."
